STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,,INDICATOR,,MEASURE,,INEQUALITY,,OBS_VALUE,,OBS_STATUS,,UNIT_MEASURE,,UNIT_MULT,,BASE_PER,
DATAFLOW,OECD:DF_BLI(1.0),,I,OECD,,HO_HISH,,L,,TOT,,20.5,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,AUS,,PS_FSAFEN,,L,,TOT,,67,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,AUT,,PS_FSAFEN,,L,,TOT,,86,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,BEL,,PS_FSAFEN,,L,,TOT,,56,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,CAN,,PS_FSAFEN,,L,,TOT,,78,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,AUS,,JE_LMIS,,L,,TOT,,3.1,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,DNK,,PS_FSAFEN,,L,,TOT,,85,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,FIN,,PS_FSAFEN,,L,,TOT,,88,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,FRA,,PS_FSAFEN,,L,,TOT,,74,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,DEU,,PS_FSAFEN,,L,,TOT,,76,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,GRC,,PS_FSAFEN,,L,,TOT,,69,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,HUN,,PS_FSAFEN,,L,,TOT,,74,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,ISL,,PS_FSAFEN,,L,,TOT,,85,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,IRL,,PS_FSAFEN,,L,,TOT,,76,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,ITA,,PS_FSAFEN,,L,,TOT,,73,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,JPN,,PS_FSAFEN,,L,,TOT,,77,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,KOR,,PS_FSAFEN,,L,,TOT,,82,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,LUX,,PS_FSAFEN,,L,,TOT,,87,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,MEX,,PS_FSAFEN,,L,,TOT,,42,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,NLD,,PS_FSAFEN,,L,,TOT,,83,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,NZL,,PS_FSAFEN,,L,,TOT,,66,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,NOR,,PS_FSAFEN,,L,,TOT,,93,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,POL,,PS_FSAFEN,,L,,TOT,,71,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,PRT,,PS_FSAFEN,,L,,TOT,,83,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,SVK,,PS_FSAFEN,,L,,TOT,,76,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,ESP,,PS_FSAFEN,,L,,TOT,,80,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,SWE,,PS_FSAFEN,,L,,TOT,,79,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,CHE,,PS_FSAFEN,,L,,TOT,,86,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,TUR,,PS_FSAFEN,,L,,TOT,,59,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,GBR,,PS_FSAFEN,,L,,TOT,,78,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,USA,,PS_FSAFEN,,L,,TOT,,78,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,BRA,,PS_FSAFEN,,L,,TOT,,45,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,CHL,,PS_FSAFEN,,L,,TOT,,41,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,EST,,PS_FSAFEN,,L,,TOT,,79,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,ISR,,PS_FSAFEN,,L,,TOT,,80,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,LVA,,PS_FSAFEN,,L,,TOT,,72,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,RUS,,PS_FSAFEN,,L,,TOT,,64,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,SVN,,PS_FSAFEN,,L,,TOT,,91,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,ZAF,,PS_FSAFEN,,L,,TOT,,40,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,OECD,,PS_FSAFEN,,L,,TOT,,74,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,AUS,,PS_FSAFEN,,L,,MN,,81,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,AUT,,PS_FSAFEN,,L,,MN,,89,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,BEL,,PS_FSAFEN,,L,,MN,,66,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,CAN,,PS_FSAFEN,,L,,MN,,88,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,CZE,,PS_FSAFEN,,L,,MN,,88,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,DNK,,PS_FSAFEN,,L,,MN,,94,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,FIN,,PS_FSAFEN,,L,,MN,,96,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,FRA,,PS_FSAFEN,,L,,MN,,78,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,DEU,,PS_FSAFEN,,L,,MN,,83,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,GRC,,PS_FSAFEN,,L,,MN,,79,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,HUN,,PS_FSAFEN,,L,,MN,,83,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,ISL,,PS_FSAFEN,,L,,MN,,93,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,IRL,,PS_FSAFEN,,L,,MN,,86,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,ITA,,PS_FSAFEN,,L,,MN,,79,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,JPN,,PS_FSAFEN,,L,,MN,,85,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,KOR,,PS_FSAFEN,,L,,MN,,87,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,LUX,,PS_FSAFEN,,L,,MN,,89,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,MEX,,PS_FSAFEN,,L,,MN,,54,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,NLD,,PS_FSAFEN,,L,,MN,,95,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,NZL,,PS_FSAFEN,,L,,MN,,80,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,NOR,,PS_FSAFEN,,L,,MN,,98,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,POL,,PS_FSAFEN,,L,,MN,,80,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,PRT,,PS_FSAFEN,,L,,MN,,92,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,SVK,,PS_FSAFEN,,L,,MN,,86,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,ESP,,PS_FSAFEN,,L,,MN,,86,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,SWE,,PS_FSAFEN,,L,,MN,,90,,A,,PC,,0,,,
